Class	Categories	 Amount 	 Ceiling 	Unit
Spare Parts Sales Outlets (New)	CAT C - Retailers (Large)	 400.00 	 400.00 	Per Annum
Spare Parts Sales Outlets (New)	CAT D - Retailers (Medium)	 273.00 	 280.00 	Per Annum
Spare Parts Sales Outlets (New)	CAT E - Retailers (Small)	 130.00 	 130.00 	Per Annum
Spare Parts Sales Outlets(Second-hand)	CAT A - Second-Hand Engine Shops	 540.00 	 750.00 	Per Annum
Spare Parts Sales Outlets(Second-hand)	CAT B - Retailers (Large)	 320.00 	 400.00 	Per Annum
Spare Parts Sales Outlets(Second-hand)	CAT C - Retailers (Medium)	 220.00 	 280.00 	Per Annum
Spare Parts Sales Outlets(Second-hand)	CAT D - Retailers (Small)	 130.00 	 160.00 	Per Annum
Spare Parts Sales Outlets(Second-hand)	CAT E - Kiosk/Table Top	 100.00 	 100.00 	Per Annum
Tyre/Battery Dealers  New	CAT A - Wholesale	 1,100.00 	 2,700.00 	Per Annum
Tyre/Battery Dealers  New	CAT B - Retail (Large)	 600.00 	 1,400.00 	Per Annum
Tyre/Battery Dealers  New	CAT C - Retail (Medium)	 350.00 	 370.00 	Per Annum
Tyre/Battery Dealers  New	CAT D - Retail (Small)	 250.00 	 230.00 	Per Annum
Tyre/Battery Dealers  Used	CAT A - Wholesale		 2,250.00 	Per Annum
Tyre/Battery Dealers  Used	CAT B - Retail  (Large)		 1,300.00 	Per Annum
Tyre/Battery Dealers  Used	CAT C - Retail (Medium)		 450.00 	Per Annum
Tyre/Battery Dealers  Used	CAT D - Retail (Small)		 150.00 	Per Annum
Windscreen Dealers	CAT A		 500.00 	Per Annum
Windscreen Dealers	CAT B		 350.00 	Per Annum
Windscreen Dealers	CAT C		 210.00 	Per Annum
Bags and Suitcases Dealers	CAT A - Large Scale	 200.00 	 500.00 	Per Annum
Bags and Suitcases Dealers	CAT B - Medium Scale	 140.00 	 280.00 	Per Annum
Bags and Suitcases Dealers	CAT C - Small Scale	 100.00 	 140.00 	Per Annum
Barbering Shop (floor space and number of points)	CAT A - Barbering & Grooming Services		 750.00 	Per Annum
Barbering Shop (floor space and number of points)	CAT (A) B  - Large Shop (above 5 points)		 450.00 	Per Annum
Barbering Shop (floor space and number of points)	CAT (B) C - Medium Shop (3-5 points)	 300.00 	 300.00 	Per Annum
Barbering Shop (floor space and number of points)	CAT (C) D - Small Shop (1-2 points)	 150.00 	 150.00 	Per Annum
Barbering Shop (floor space and number of points)	CAT (D) E - Mobile/ Certified Wanzam Operators	 50.00 	 50.00 	Per Annum
Barbering Shop (floor space and number of points)	CAT (E) F - Barbering accessory shop	 100.00 	 150.00 	Per Annum
Bakeries	CAT A - Large Scale (Industrial operations)	 500.00 	 1,000.00 	Per Annum
Bakeries	CAT B - Medium Scale	 200.00 	 450.00 	Per Annum
Bakeries	CAT C - Small Scale	 110.00 	 210.00 	Per Annum
Beads Dealers	CAT A - Producers/Wholesalers/ Retailers	 150.00 	 150.00 	Per Annum
Beads Dealers	CAT B - Producers Only	 120.00 	 120.00 	Per Annum
Beads Dealers	CAT C - Retailers Only	 75.00 	 75.00 	Per Annum
Beads Dealers	CAT D - Retailers (Table Top)	 45.00 	 45.00 	Per Annum
Alcoholic and Non-Alcoholic Beverages	CAT A - Depots	 2,700.00 	 2,200.00 	Per Annum
Alcoholic and Non-Alcoholic Beverages	CAT B - Wholesale & Retail	 1,200.00 	 2,100.00 	Per Annum
Alcoholic and Non-Alcoholic Beverages	CAT C - Wholesale	 850.00 	 1,400.00 	Per Annum
Alcoholic and Non-Alcoholic Beverages	CAT D - Retail (Large)	 500.00 	 750.00 	Per Annum
Alcoholic and Non-Alcoholic Beverages	CAT  E - Retail (Medium)	 300.00 	 450.00 	Per Annum
Alcoholic and Non-Alcoholic Beverages	CAT  F - Retail (Small)	 200.00 	 220.00 	Per Annum
Alcoholic and Non-Alcoholic Beverages	CAT  G - Retail (Very Small)	 150.00 		
Casino Operations	Casino Operations		 7,000.00 	Per Annum
Sports Betting Operations	CAT A - Online Betting		 6,000.00 	Per Annum
Sports Betting Operations	CAT B - Online + Brick & Mortar/Land Base		 4,800.00 	Per Annum
Sports Betting Operations	CAT C - Brick and Mortar/ Land Base	 400.00 	 3,500.00 	Per Annum
Route Operations (Console/consul Games)	CAT A	 2,000.00 	 5,000.00 	Per Annum
Route Operations (Console/consul Games)	CAT A	 1,600.00 	 4,620.00 	Per Annum
Route Operations (Console/consul Games)	CAT C	 400.00 	 900.00 	Per Annum
Route Operations (Console/consul Games)	CAT D (Per Machine)	 400.00 	 520.00 	Per Annum
Bicycles/Tricycles/Motorcycles Dealers (Brand New)	CAT A - Importers/Wholesalers	 750.00 	 2,100.00 	Per Annum
Bicycles/Tricycles/Motorcycles Dealers (Brand New)	CAT B - Sales Outlets (Large)	 600.00 	 1,000.00 	Per Annum
Bicycles/Tricycles/Motorcycles Dealers (Brand New)	CAT C - Sales Outlets (Small-Medium)	 490.00 	 600.00 	Per Annum
Bicycles/Tricycles/Motorcycles Dealers (Brand New)	CAT D - Tricycles Only	 300.00 	 400.00 	Per Annum
Bicycles/Tricycles/Motorcycles Dealers (Brand New)	CAT E - Bicycles Only		 320.00 	Per Annum
Bicycles/Tricycles/Motorcycle Dealers (Second-hand)	CAT A - Large Scale		 750.00 	Per Annum
Bicycles/Tricycles/Motorcycle Dealers (Second-hand)	CAT B - Medium Scale		 520.00 	Per Annum
Bicycles/Tricycles/Motorcycle Dealers (Second-hand)	CAT C - Small Scale	 200.00 	 300.00 	Per Annum
Bicycles/Tricycles/Motorcycles and Parts Sales	CAT A - Multiple Products	 270.00 	 350.00 	Per Annum
Bicycles/Tricycles/Motorcycles and Parts Sales	CAT B - Motorcycle/Tricycle with Parts	 250.00 	 320.00 	Per Annum
Bicycles/Tricycles/Motorcycles and Parts Sales	CAT C - Motorcycle/Tricycles	 200.00 	 260.00 	Per Annum
Bicycles/Tricycles/Motorcycles and Parts Sales	CAT D - Bicycle  with Parts	 160.00 	 210.00 	Per Annum
Bicycles/Tricycles/Motorcycles and Parts Sales	CAT E - Bicycles	 120.00 	 140.00 	Per Annum
Bicycle Tricycle/ Motorcycle Repairers	CAT A - Tricycle	 150.00 	 90.00 	Per Annum
Bicycle Tricycle/ Motorcycle Repairers	CAT B - Motorcycle	 120.00 	 50.00 	Per Annum
Bicycle Tricycle/ Motorcycle Repairers	CAT C - Bicycle	 100.00 	 25.00 	Per Annum
Bill Boards (e.g. Road Arches, Unipole spectacular, LEDs, Building wrap or Wall Drape signs, Vehicular Adverts, Banners)	CAT A - Class A1 (Along First Class Accesses)	 60.00 	 70.00 	Per m2
Bill Boards (e.g. Road Arches, Unipole spectacular, LEDs, Building wrap or Wall Drape signs, Vehicular Adverts, Banners)	CAT B - Class A2 (Along Second Class Accesses)	 60.00 	 60.00 	Per m2
Bill Boards (e.g. Road Arches, Unipole spectacular, LEDs, Building wrap or Wall Drape signs, Vehicular Adverts, Banners)	CAT C - Class A3 (Along Third Class Accesses)	 60.00 	 45.00 	Per m2
Aerial Adverts - Planes, Balloons etc (Per Day Fee in All Zones)	Aerial Adverts - Planes, Balloons etc (Per Day Fee in All Zones)		 225.00 	Per m2
Bus Stop Shelters	CAT A - Class A1	 500.00 	 730.00 	Per m2
Bus Stop Shelters	CAT B - Class A2	 270.00 	 480.00 	Per m2
Bus Stop Shelters	CAT C - Class A3	 200.00 	 340.00 	Per m2
Flag Poles	CAT A - Class A1	 400.00 	 530.00 	Per Annum
Flag Poles	CAT B - Class A2	 274.00 	 438.00 	Per Annum
Flag Poles	CAT C - Class A3	 274.00 	 400.00 	Per Annum
Group Directional Signs	CAT A - Class A1	 2,100.00 	 7,870.00 	Per Annum
Group Directional Signs	CAT B - Class A2	 2,000.00 	 7,350.00 	Per Annum
Group Directional Signs	CAT C - Class A3		 6,370.00 	Per Annum
Lamp post Adverts (Street Light Poles)	Lamp post Adverts (Street Light Poles)		 340.00 	Per Annum
Posters	Posters	 5.00 	 9.00 	Per Day
Others (Not categorised above)	Others (Not categorised above)		 56.00 	Per sq/m per Annum
Blacksmith	Blacksmith	 140.00 	 140.00 	Per Annum
Blocks & Concrete Producers	CAT A - Large Scale (Concrete Mixtures and Wares)	 1,200.00 	 3,500.00 	Per Annum
Blocks & Concrete Producers	CAT B - Large Scale (Machine and manual for design blocks)	 650.00 	 1,000.00 	Per Annum
Blocks & Concrete Producers	CAT C - Medium Scale (Machine for blocks only)	 520.00 	 900.00 	Per Annum
Blocks & Concrete Producers	CAT D - Small Scale (Manual blocks only)	 380.00 	 650.00 	Per Annum
Blocks & Concrete Producers	CAT E - Small Scale (Manual design blocks/columns only)	 300.00 	 500.00 	Per Annum
Blocks & Concrete Producers	CAT F - Tiles/Pavement Blocks and Terrazzo Works (Chipping)	 170.00 	 220.00 	Per Annum
Boat/Canoe Dealers (Manufacturers)	CAT A - Importers	 800.00 	 300.00 	Per Annum
Boat/Canoe Dealers (Manufacturers)	CAT B -   Local Producers	 300.00 	 250.00 	Per Annum
Boat/Canoe Operators	CAT A - Large Scale	 300.00 	 350.00 	Per Annum
Boat/Canoe Operators	CAT B - Medium Scale	 250.00 	 280.00 	Per Annum
Boat/Canoe Operators	CAT C - Small Scale	 200.00 	 140.00 	Per Annum
Book, Stationery, Office Equipment, Computer & Accessory, etc. Shops	CAT A - Book Shops, Stationeries, Office Equipment, Computer & Accessories	 1,200.00 	 6,000.00 	Per Annum
Book, Stationery, Office Equipment, Computer & Accessory, etc. Shops	CAT B - Computer, Accessories, Office Equipment, Stationery	 800.00 	 3,500.00 	Per Annum
Book, Stationery, Office Equipment, Computer & Accessory, etc. Shops	CAT C - Computer & Accessories, Office Equipment	 700.00 	 2,800.00 	Per Annum
Book, Stationery, Office Equipment, Computer & Accessory, etc. Shops	CAT D - Medium size of CAT C	 500.00 	 1,400.00 	Per Annum
Book, Stationery, Office Equipment, Computer & Accessory, etc. Shops	CAT E - Book Shops, Stationeries	 450.00 	 2,100.00 	Per Annum
Book, Stationery, Office Equipment, Computer & Accessory, etc. Shops	CAT F - Stationeries, Office Equipment	 500.00 	 1,400.00 	Per Annum
Book, Stationery, Office Equipment, Computer & Accessory, etc. Shops	CAT G - Medium size of CAT E	 270.00 	 900.00 	Per Annum
Book, Stationery, Office Equipment, Computer & Accessory, etc. Shops	CAT H - Office Equipment Only		 1,000.00 	Per Annum
Book, Stationery, Office Equipment, Computer & Accessory, etc. Shops	CAT I - Stationery Only	 250.00 	 500.00 	Per Annum
Book, Stationery, Office Equipment, Computer & Accessory, etc. Shops	CAT J - Books Only	 150.00 	 210.00 	Per Annum
Book, Stationery, Office Equipment, Computer & Accessory, etc. Shops	CAT K - Table Top/Truck Pusher	 100.00 	 100.00 	Per Annum
Book, Stationery, Office Equipment, Computer & Accessory, etc. Shops	CAT L - Mobile Vans	 150.00 	 280.00 	Per Annum
Boutiques Boutiques (Including African Wear)	CAT A - Large Scale	 600.00 	 2,800.00 	Per Annum
Boutiques Boutiques (Including African Wear)	CAT B - Medium Scale	 360.00 	 1,400.00 	Per Annum
Boutiques Boutiques (Including African Wear)	CAT C - Small Scale	 350.00 	 700.00 	Per Annum
Boutiques Boutiques (Including African Wear)	CAT D - Branches of CAT A & B	 220.00 	 280.00 	Per Annum
Boutiques Boutiques (Including African Wear)	CAT E -  Others	 130.00 	 140.00 	Per Annum
Boutiques Boutiques (Including African Wear)	CAT F -  Others	 60.00 		
Breweries	CAT A		 45,000.00 	Per Annum
Breweries	CAT B		 21,000.00 	Per Annum
Breweries	CAT C		 13,000.00 	Per Annum
Breweries	CAT D		 7,500.00 	Per Annum
Bridal Homes	CAT A	 600.00 	 2,100.00 	Per Annum
Bridal Homes	CAT B	 400.00 	 1,400.00 	Per Annum
Bridal Homes	CAT 'C'	 330.00 	 370.00 	Per Annum
Butcher's Licence	CAT A - Master Butcher		 120.00 	Per Annum
Butcher's Licence	CAT B - Butcher		 80.00 	Per Annum
Hardware (Distributor/ Wholesaler)	CAT A - Large Scale hardware Distributor/Wholesaler (Large)	 1,300.00 	 5,000.00 	Per Annum
Hardware (Distributor/ Wholesaler)	CAT B - Medium Scale hardware Distributor/Wholesaler (Medium)	 820.00 	 2,100.00 	Per Annum
Hardware (Distributor/ Wholesaler)	CAT C - Small Scale hardware Wholesaler (Medium)	 680.00 	 1,700.00 	Per Annum
Hardware (Distributor/ Wholesaler)	CAT D - Wholesaler (Small)	 600.00 	 900.00 	Per Annum
Finishing/Retail	CAT A - Large Scale	 1,200.00 	 3,200.00 	Per Annum
Finishing/Retail	CAT B - Medium Scale	 1,000.00 	 1,575.00 	Per Annum
Finishing/Retail	CAT C - Small Scale (Containers/ Kiosk)	 600.00 	 900.00 	Per Annum
Finishing/Retail	CAT D - Very Small Scale	 180.00 	 187.00 	Per Annum
Roofing Material Dealers	CAT A - Manufacture/Sales	 1,800.00 	 2,200.00 	Per Annum
Roofing Material Dealers	CAT B - Sales & Installation	 1,200.00 	 1,500.00 	Per Annum
Business Centres	CAT A -  Internet, Word Processing, Printing and Copying Services plus above 20 Work stations with Internet Service Retailing	   	 6,000.00 	Per Annum
Business Centres	CAT B - Internet, Word Processing, Printing and Copying Services plus above 20 Work stations		 2,800.00 	Per Annum
Business Centres	CAT C - Internet, Word Processing, Printing and Copying Services plus 11-20 Work stations	 500.00 	 1,300.00 	Per Annum
Business Centres	CAT D - Internet, Word Processing, Printing and Copying Services plus below 11 Work stations	 280.00 	 280.00 	Per Annum
Business Centres	CAT E - Secretarial Services (Word Processing, Printing and Copying Services)	 210.00 	 210.00 	Per Annum
Cable Manufacturers	CAT 'A'		 12,000.00 	Per Annum
Cable Manufacturers	CAT 'B'		 9,000.00 	Per Annum
Cable Manufacturers	CAT 'C'		 8,295.00 	Per Annum
Cable Manufacturers	CAT 'D'		 7,350.00 	Per Annum
