Class	Categories	 Amount 	 Ceiling 	Unit
Other Financial Institutions - Rural & Community Banks	CAT D - Mobilisation Centre (Rural & Community Banks)	 1,000.00 	 190.00 	Per Annum
Financial Institutions (Banking)  - Other Financial Institutions - Financial NGOs	CAT A - Head Office		 600.00 	Per Annum
Financial Institutions (Banking)  - Other Financial Institutions - Financial NGOs	CAT B - Branch		 370.00 	Per Annum
Forex Bureauss	CAT A - Head Office	 600.00 	 750.00 	Per Annum
Forex Bureauss	CAT B - Branch	 500.00 	 370.00 	Per Annum
Financial Technology Companies	CAT A - Dedicated Electronic Money Issuer	 2,500.00 	 7,500.00 	Per Annum
Financial Technology Companies	CAT B Mobile Money Vendor Large	 370.00 	 750.00 	Per Annum
Financial Technology Companies	CAT C Mobile Money Vendor Medium	 350.00 	 370.00 	Per Annum
Financial Technology Companies	CAT D Mobile Money Vendor Small	 220.00 	 220.00 	Per Annum
Financial Technology Companies	CAT E - Payment Service Provider (Enhanced)		 3,750.00 	Per Annum
Financial Technology Companies	CAT F - Payment Service Provider (Medium)		 2,200.00 	Per Annum
Financial Technology Companies	CAT G - Payment Service Provider (Standard)		 370.00 	Per Annum
Financial Technology Companies	CAT H - Payment & Financial Technology Service Provider (PFTSP)		 1,100.00 	Per Annum
Financial Technology Companies	CAT I - Mobile Money Vendor Small (Others)	 150.00 		
Stand Alone ATMs	Stand Alone ATMs	 500.00 	 750.00 	Per Annum
Insurance Companies - Re-insurance	Re-insurance		 22,500.00 	Per Annum
Insurance Companies - Non-Life Insurance	CAT A - Head Office		 13,500.00 	Per Annum
Insurance Companies - Non-Life Insurance	CAT B - Branch Office		 7,500.00 	Per Annum
Insurance Companies - Non-Life Insurance	CAT C - Agency Office	 700.00 	 5,200.00 	Per Annum
Insurance Companies - Life Insurance	CAT A - Head Office		 9,000.00 	Per Annum
Insurance Companies - Life Insurance	CAT B - Branch Office		 3,700.00 	Per Annum
Insurance Companies - Life Insurance	CAT C - Agency Office	 700.00 	 2,200.00 	Per Annum
Insurance Companies - Brokers	CAT A - Main Office		 3,700.00 	Per Annum
Insurance Companies - Brokers	CAT B - Branch Office		 1,500.00 	Per Annum
Capital Market Companies	CAT A - Financial Holding Companies		 6,000.00 	Per Annum
Capital Market Companies	CAT B - Security Exchangers		 6,000.00 	Per Annum
Capital Market Companies	CAT C - Fund Managers (Head Office)		 3,000.00 	Per Annum
Capital Market Companies	CAT D - Fund Managers (Branch Office)		 1,500.00 	Per Annum
Capital Market Companies	CAT E - Broker Dealers		 1,125.00 	Per Annum
Capital Market Companies	CAT F - Investment Advisors		 375.00 	Per Annum
Fish Farming Companies	CAT A- International Large Scale		 40,000.00 	Per Annum
Fish Farming Companies	CAT B- International Medium Scale		 28,000.00 	Per Annum
Fish Farming Companies	CAT C- International Small Scale		 14,000.00 	Per Annum
Fish Farming Companies	CAT D - Local Large Scale	 800.00 	 300.00 	Per Annum
Fish Farming Companies	CAT E - Local Medium Scale	 600.00 	 210.00 	Per Annum
Fish Farming Companies	CAT F - Local Small Scale	 350.00 	 110.00 	Per Annum
Fishing Nets and Accessories Dealers	CAT A - Importers/Wholesalers		 1,275.00 	Per Annum
Fishing Nets and Accessories Dealers	CAT B - Wholesalers	 500.00 	 1,050.00 	Per Annum
Fishing Nets and Accessories Dealers	CAT C - Retailers	 200.00 	 450.00 	Per Annum
Fishing Nets and Accessories Dealers	CAT D - Table Top	 150.00 	 90.00 	Per Annum
Floral and Allied Products	CAT A - Natural (Large Scale)		 675.00 	Per Annum
Floral and Allied Products	CAT B - Natural (Medium Scale)		 525.00 	Per Annum
Floral and Allied Products	CAT C - Natural (Small Scale)		 450.00 	Per Annum
Floral and Allied Products	CAT D - Artificial (Large Scale)		 525.00 	Per Annum
Floral and Allied Products	CAT E - Artificial (Small Scale)		 263.00 	Per Annum
Footwear Producers	CAT A - Large (Industrial/Handmade)	 1,000.00 	 450.00 	Per Annum
Footwear Producers	CAT B - Medium (Industrial/Handmade)	 600.00 	 350.00 	Per Annum
Footwear Producers	CAT C - Small (Handmade)		 75.00 	Per Annum
Footwear Sales - New	CAT A	 250.00 	 220.00 	Per Annum
Footwear Sales - New	CAT B	 180.00 	 150.00 	Per Annum
Footwear Sales - New	CAT C	 100.00 	 120.00 	Per Annum
Footwear Sales - Used	CAT A	 150.00 	 150.00 	Per Annum
Footwear Sales - Used	CAT B	 120.00 	 120.00 	Per Annum
Footwear Sales - Used	CAT C	 60.00 	 60.00 	Per Annum
Footwear Accessory Sales	CAT A	 160.00 	 160.00 	Per Annum
Footwear Accessory Sales	CAT B	 130.00 	 130.00 	Per Annum
Footwear Accessory Sales	CAT C	 75.00 	 75.00 	Per Annum
Footwear Repairers (Cobblers)	CAT A	 80.00 	 100.00 	Per Annum
Footwear Repairers (Cobblers)	CAT B	 50.00 	 50.00 	Per Annum
Exporters of General Goods	CAT A - Timber		 13,000.00 	Per Annum
Exporters of General Goods	CAT B - Cash Crops		 9,000.00 	Per Annum
Exporters of General Goods	CAT C - Food Crops		 7,200.00 	Per Annum
Exporters of General Goods	CAT D - African Clothing/Ornaments		 4,500.00 	Per Annum
Exporters of General Goods	CAT E - Cosmetic Products		 2,100.00 	Per Annum
Exporters of General Goods	CAT F - Footwear		 1,400.00 	Per Annum
Exporters of General Goods	CAT G - Others	 500.00 	 1,000.00 	Per Annum
Exporters of General Goods	CAT H - Combination of C, D, E & F		 2,600.00 	Per Annum
Importers of General Goods	CAT A - Food Crops		 12,000.00 	Per Annum
Importers of General Goods	CAT B - Clothing		 9,700.00 	Per Annum
Importers of General Goods	CAT C - African Clothing/Ornaments		 7,500.00 	Per Annum
Importers of General Goods	CAT D - Cosmetic Products		 5,200.00 	Per Annum
Importers of General Goods	CAT E - Footwear		 3,000.00 	Per Annum
Importers of General Goods	CAT F - Combination of A to E		 1,500.00 	Per Annum
Freight Forwarding Operators	CAT A - Large Scale		 50,000.00 	Per Annum
Freight Forwarding Operators	CAT B - Medium Scale		 32,000.00 	Per Annum
Freight Forwarding Operators	CAT C - Small Scale		 19,500.00 	Per Annum
Burial Grounds/Funeral Homes/Mortuaries (Private) - Burial Grounds	Burial Grounds		 3,750.00 	Per Annum
Burial Grounds/Funeral Homes/Mortuaries (Private) - Funeral Homes	CAT A - Advanced  Activities: Cold Storage room + Preparation of body for burial, Autopsy and Others		 13,500.00 	Per Annum
Burial Grounds/Funeral Homes/Mortuaries (Private) - Funeral Homes	CAT B- Basic Activities: Cold Storage room + Preparation of body for burial	 1,300.00 	 7,500.00 	Per Annum
Burial Grounds/Funeral Homes/Mortuaries (Private) - Mortuaries	CAT A - Cold Storage for Remains (Level 3 Mortuary)	 2,500.00 	 3,750.00 	Per Annum
Burial Grounds/Funeral Homes/Mortuaries (Private) - Mortuaries	CAT A - Cold Storage for Remains (Level 2 Mortuary)	 2,180.00 	 2,250.00 	Per Annum
Burial Grounds/Funeral Homes/Mortuaries (Private) - Mortuaries	CAT A - Cold Storage for Remains (Level 1 Mortuary)	 700.00 	 750.00 	Per Annum
Funeral  Undertakers Licence	Funeral  Undertakers Licence	 600.00 	 750.00 	Per Annum
Hearse Service Providers	CAT A - Large Scale (Above 5 Vehicles)	 600.00 	 600.00 	Per Annum
Hearse Service Providers	CAT B - Medium Scale (3-5 Vehicles)	 470.00 	 300.00 	Per Annum
Hearse Service Providers	CAT C - Small Scale (1-2 Vehicles)	 250.00 	 150.00 	Per Annum
Furniture Showroom	CAT A - Large Scale (Including Manufacturing)	 1,200.00 	 4,500.00 	Per Annum
Furniture Showroom	CAT B - Medium Scale (Including Manufacturing)	 1,000.00 	 3,500.00 	Per Annum
Furniture Showroom	CAT C - Small scale Medium scale (Showroom only)	 900.00 	 2,100.00 	Per Annum
Furniture Showroom	CAT D - Small scale (Showroom only)	 700.00 	 1,125.00 	Per Annum
Game Viewing/Commercial TV Viewing Centres	CAT A - Large Scale		 750.00 	Per Annum
Game Viewing/Commercial TV Viewing Centres	CAT B - Medium Scale		 520.00 	Per Annum
Game Viewing/Commercial TV Viewing Centres	CAT C - Small Scale	 150.00 	 300.00 	Per Annum
Gas Cylinder/ Stoves & Accessory Dealers	CAT A - Large Scale		 220.00 	Per Annum
Gas Cylinder/ Stoves & Accessory Dealers	CAT B - Medium Scale		 150.00 	Per Annum
Gas Cylinder/ Stoves & Accessory Dealers	CAT C - Small Scale		 75.00 	Per Annum
General Goods - Sales (e.g. Generator, Water pump, Chain saw, etc.)	CAT A - Large Scale	 1,500.00 	 3,500.00 	Per Annum
General Goods - Sales (e.g. Generator, Water pump, Chain saw, etc.)	CAT B - Medium Scale	 1,000.00 	 2,100.00 	Per Annum
General Goods - Sales (e.g. Generator, Water pump, Chain saw, etc.)	CAT C - Small Scale	 700.00 	 1,000.00 	Per Annum
General Goods - Sales (e.g. Generator, Water pump, Chain saw, etc.)	CAT D - Individuals	 500.00 	 750.00 	Per Annum
Gift Shops	CAT A - Large Scale	 270.00 	 400.00 	Per Annum
Gift Shops	CAT A - Medium Scale	 200.00 	 208.00 	Per Annum
Gift Shops	CAT B - Small Scale	 100.00 	 100.00 	Per Annum
Glass Sellers (Tinted /Plain)	CAT A - Large Scale	 500.00 	 1,300.00 	Per Annum
Glass Sellers (Tinted /Plain)	CAT B - Medium Scale	 320.00 	 1,000.00 	Per Annum
Glass Sellers (Tinted /Plain)	CAT C - Small Scale	 250.00 	 600.00 	Per Annum
Gold/Diamond Dealers	CAT A - Refinery		 6,000.00 	Per Annum
Gold/Diamond Dealers	CAT B - Merchants		 3,500.00 	Per Annum
Gold/Diamond Dealers	CAT C - Agents		 2,625.00 	Per Annum
Gold/Diamond Dealers	CAT D - Goldsmith		 1,400.00 	Per Annum
Gold/Diamond Dealers	CAT E - Silversmith		 220.00 	Per Annum
Graphic Design Companies	CAT A - Large Scale		 3,000.00 	Per Annum
Graphic Design Companies	CAT B - Medium Scale		 2,100.00 	Per Annum
Graphic Design Companies	CAT C - Small Scale		 1,100.00 	Per Annum
Graphic Design Companies	CAT D - Individuals	 220.00 	 450.00 	Per Annum
Grain Distributors	CAT A - Wholesale		 750.00 	Per Annum
Grain Distributors	CAT B - Retail		 600.00 	Per Annum
Grain Distributors	CAT C - Others		 370.00 	Per Annum
Hair & Beauty Service Providers	CAT A - Beauty Parlour and School	 700.00 	 2,600.00 	Per Annum
Hair & Beauty Service Providers	CAT B -  Beauty Parlour	 650.00 	 1,575.00 	Per Annum
Hair & Beauty Service Providers	CAT C - Salon with pedicure, manicure, braiding/weaving	 70.00 	 1,300.00 	Per Annum
Hair & Beauty Service Providers	CAT D - Big Salon	 70.00 	 280.00 	Per Annum
Hair & Beauty Service Providers	CAT E - Small Salon	 70.00 	 140.00 	Per Annum
Hair & Beauty Service Providers	CAT F - Braiding and Weaving Only	 70.00 	 600.00 	Per Annum
Hair & Beauty Service Providers	CAT G - Braiding Only	 70.00 	 210.00 	Per Annum
Hair & Beauty Service Providers	CAT H - Pedicure & Manicure Only	 70.00 	 150.00 	Per Annum
Harbours	CAT A - Merchandise Harbours		 150,000.00 	Per Annum
Harbours	CAT B - Fishing Harbours		 15,000.00 	Per Annum
Haulage Companies	CAT A		 5,000.00 	Per Annum
Haulage Companies	CAT B		 3,200.00 	Per Annum
Haulage Companies	CAT 'C'		 1,500.00 	Per Annum
Dental Clinics	Dental Clinics		 550.00 	Per Annum
Eye Clinics	CAT A - Ophthalmologist Clinics	 600.00 	 550.00 	Per Annum
Eye Clinics	CAT B - Opticians/Optometrist		 300.00 	Per Annum
General Clinics	CAT B - Specialty Clinics		 2,000.00 	Per Annum
General Clinics	CAT C - Primary Health Care	 500.00 	 900.00 	Per Annum
General Clinics	CAT D - Wound Care Clinic	 250.00 		
General Hospitals	Primary Health Care	 2,300.00 	 2,700.00 	Per Annum
Maternity Homes	CAT A -  Expanded Services		 300.00 	Per Annum
Maternity Homes	CAT B -  General Services	 274.00 	 160.00 	Per Annum
Medical Diagnostic Services	CAT A - Secondary/Tertiary	 1,100.00 	 1,500.00 	Per Annum
Medical Diagnostic Services	CAT C - Basic/ Primary	 400.00 	 450.00 	Per Annum
Lincenced Herbal Medicine Units	CAT A - Foreign Clinics and Shops		 3,500.00 	Per Annum
Lincenced Herbal Medicine Units	CAT B - Foreign Clinics or Shops		 2,100.00 	Per Annum
Lincenced Herbal Medicine Units	CAT C - Clinic and Medicine Producers (Local)	 600.00 	 1,400.00 	Per Annum
Lincenced Herbal Medicine Units	CAT D - Clinic Only (Local)	 500.00 	 1,300.00 	Per Annum
Lincenced Herbal Medicine Units	CAT E - Medicine Producers Only (Local)	 420.00 	 1,200.00 	Per Annum
Lincenced Herbal Medicine Units	CAT F - Herbal Shops (Local)	 280.00 	 500.00 	Per Annum
Lincenced Herbal Medicine Units	CAT G - Shop on wheel (Mobile)	 400.00 	 750.00 	Per Annum
Hire Purchase Trading Enterprises	CAT A - Large Scale		 750.00 	Per Annum
Hire Purchase Trading Enterprises	CAT B - Medium Scale		 550.00 	Per Annum
Hire Purchase Trading Enterprises	CAT C - Small Scale		 300.00 	Per Annum
Ice Cream/Yoghurt Dealers	CAT A - Manufacturers (Large Scale)	 4,107.00 	 10,100.00 	Per Annum
Ice Cream/Yoghurt Dealers	CAT B - Manufacturers (Medium Scale - Local Producers )	 2,738.00 	 6,000.00 	Per Annum
Ice Cream/Yoghurt Dealers	CAT C - Manufacturers (Small Scale -Local Producers )	 2,000.00 	 2,800.00 	Per Annum
Ice Cream/Yoghurt Dealers	CAT D - Wholesale/Depot	 1,095.00 	 1,900.00 	Per Annum
Ice Cream/Yoghurt Dealers	CAT E - Retail	 450.00 	 450.00 	Per Annum
Interior/Event Decorators	CAT A - Companies (Large)	 500.00 	 1,000.00 	Per Annum
Interior/Event Decorators	CAT B - Companies (Medium)	 300.00 	 600.00 	Per Annum
Interior/Event Decorators	CAT C - Individuals	 200.00 	 280.00 	Per Annum
Jewellery Shops	CAT.A - Retail (Large)		 2,100.00 	Per Annum
Jewellery Shops	CAT B -  Retail (Medium)		 750.00 	Per Annum
Jewellery Shops	CAT C - Retail (Small)		 400.00 	Per Annum
Jewellery Shops	CAT D - Table Top		 100.00 	Per Annum
Jewellery Repairers (watches/bracelets, etc.)	CAT A		 210.00 	Per Annum
Jewellery Repairers (watches/bracelets, etc.)	CAT B		 100.00 	Per Annum
Job Placement Agencies	CAT 'A'	 1,000.00 	 2,600.00 	Per Annum
Job Placement Agencies	CAT 'B'	 680.00 	 1,000.00 	Per Annum
Job Placement Agencies	CAT C	 270.00 	 400.00 	Per Annum
Key Technicians/Cutters	CAT 'A'	 200.00 	 210.00 	Per Annum
Key Technicians/Cutters	CAT 'B'	 150.00 	 90.00 	Per Annum
Landscapers/Horticulturalists	CAT A - Large Scale		 280.00 	Per Annum
Landscapers/Horticulturalists	CAT B - Medium Scale		 190.00 	Per Annum
Landscapers/Horticulturalists	CAT C - Small Scale		 130.00 	Per Annum
Laundry Services	CAT A - Large Scale	 600.00 	 1,200.00 	Per Annum
Laundry Services	CAT B - Medium Scale	 400.00 	 600.00 	Per Annum
Laundry Services	CAT C - Small Scale	 160.00 	 140.00 	Per Annum
Leather Works	CAT A - Producers (Donkey Skin)		 9,450.00 	Per Annum
Leather Works	CAT B - Producers (Industrial)		 1,300.00 	Per Annum
Leather Works	CAT C - Producers (Handmade Medium)		 400.00 	Per Annum
Leather Works	CAT D - Repairers (e.g Cobbler or Shoe Shine) Sales/Others	 50.00 	 150.00 	Per Annum
Lincenced Arms & Ammunition Dealers	CAT A		 13,000.00 	Per Annum
Lincenced Arms & Ammunition Dealers	CAT B		 6,000.00 	Per Annum
Livestock Farms	CAT A - Very large-sized	 1,200.00 	 2,100.00 	Per Annum
Livestock Farms	CAT B - Large-sized	 1,000.00 	 1,400.00 	Per Annum
Livestock Farms	CAT C - Medium-sized	 620.00 	 1,000.00 	Per Annum
Livestock Farms	CAT D - Small-sized	 320.00 	 600.00 	Per Annum
Livestock Farms	CAT E - Very Small-sized	 200.00 	 210.00 	Per Annum
Lottery Business Operators	CAT A - National Lotto Authority		 22,000.00 	Per Annum
Lottery Business Operators	CAT B - National Marketing Companies/Agents	 1,600.00 	 4,000.00 	Per Annum
Lottery Business Operators	CAT C  - Private Operators	 1,000.00 	 2,400.00 	Per Annum
Lottery Business Operators	CAT D - Lotto Receiver	 750.00 	 900.00 	Per Annum
Lumber Business (Including Saw Mill)	CAT A	 6,500.00 	 12,750.00 	Per Annum
Lumber Business (Including Saw Mill)	CAT B	 4,500.00 	 6,300.00 	Per Annum
Lumber Business (Including Saw Mill)	CAT 'C'	 1,900.00 	 4,100.00 	Per Annum
Lumber Business (Including Saw Mill)	CAT 'D'	 1,200.00 	 2,100.00 	Per Annum
Machine Shops (Workshop for making or repairing machines)	CAT A - Large Scale		 600.00 	Per Annum
Machine Shops (Workshop for making or repairing machines)	CAT B - Medium Scale		 370.00 	Per Annum
Machine Shops (Workshop for making or repairing machines)	CAT C - Small Scale	 150.00 	 220.00 	Per Annum
Machine Sharpening Operators	CAT A - Stationed with shops	 75.00 	 75.00 	Per Annum
Machine Sharpening Operators	CAT B - Mobile	 60.00 	 60.00 	Per Annum
Manufacturing/ Processing Companies	CAT A - International (Large Scale)		 60,000.00 	Per Annum
Manufacturing/ Processing Companies	CAT B - International (Medium Scale)		 45,000.00 	Per Annum
Manufacturing/ Processing Companies	CAT C - International (Small Scale)		 37,500.00 	Per Annum
Manufacturing/ Processing Companies	CAT D - National (Large Scale)		 29,000.00 	Per Annum
Manufacturing/ Processing Companies	CAT E - National (Medium Scale)		 19,500.00 	Per Annum
Manufacturing/ Processing Companies	CAT F - National (Small Scale)		 13,000.00 	Per Annum
Manufacturing/ Processing Companies	CAT G - Local (Large Scale)		 11,500.00 	Per Annum
Manufacturing/ Processing Companies	CAT H - Local (Medium Scale)		 10,000.00 	Per Annum
Manufacturing/ Processing Companies	CAT I - Local (Small Scale)		 7,500.00 	Per Annum
Markets & Other Facilities Management Companies	CAT A - Large Scale		 21,000.00 	Per Annum
Markets & Other Facilities Management Companies	CAT B - Medium Scale		 12,000.00 	Per Annum
Markets & Other Facilities Management Companies	CAT C - Small Scale		 2,400.00 	Per Annum
Mattress/Foam Products Dealers	CAT A - Manufacturers		 7,500.00 	Per Annum
Mattress/Foam Products Dealers	CAT B - Wholesalers	 750.00 	 1,300.00 	Per Annum
Mattress/Foam Products Dealers	CAT C - Retailers (Medium Scale)	 520.00 	 600.00 	Per Annum
Mattress/Foam Products Dealers	CAT D - Retailers (Small Scale)	 300.00 	 350.00 	Per Annum
Mattress Makers/Repairers	Mattress Makers/Repairers		 50.00 	Per Annum
Electronic Media (Radio) Operators	CAT A - National & Inter-Regional		 3,000.00 	Per Annum
Electronic Media (Radio) Operators	CAT B - Regional		 2,500.00 	Per Annum
Electronic Media (Radio) Operators	CAT C - District		 1,700.00 	Per Annum
Electronic Media (Radio) Operators	CAT D - Community	 700.00 	 700.00 	Per Annum
Electronic Media (Radio) Operators	CAT E - Recording Studios (Large)		 700.00 	Per Annum
Electronic Media (Radio) Operators	CAT F - Recording Studios (Medium)	 300.00 	 350.00 	Per Annum
Electronic Media (Radio) Operators	CAT G - Recording Studios (Small)		 70.00 	Per Annum
Electronic Media (Radio) Operators	CAT H - Information Centres (Urban)	 150.00 	 200.00 	Per Annum
Electronic Media (Radio) Operators	CAT I - Information Centres (Rural)	 100.00 	 140.00 	Per Annum
Electronic Media (Radio) Operators	CAT J - Stand Alone Radio/TV Satellite		 3,500.00 	Per Annum
Electronic Media (Television) Operators	CAT A - Very Large Scale		 6,000.00 	Per Annum
Electronic Media (Television) Operators	CAT B - Large Scale		 5,000.00 	Per Annum
Electronic Media (Television) Operators	CAT C - Medium Scale		 3,500.00 	Per Annum
Electronic Media (Television) Operators	CAT D - Small Scale		 1,700.00 	Per Annum
Printing Houses	CAT A - Large Scale	 1,500.00 	 3,500.00 	Per Annum
Printing Houses	CAT B - Medium Scale	 1,300.00 	 3,000.00 	Per Annum
Printing Houses	CAT C - Small Scale	 1,000.00 	 1,400.00 	Per Annum
Printing Houses	CAT D - Binders	 274.00 	 700.00 	Per Annum
Printing Houses	CAT E - Others	 274.00 	 300.00 	Per Annum
Printing Houses	CAT F - Newspaper/Periodicals Vendors	 70.00 	 70.00 	Per Annum
Medical Supply Companies	CAT A		 2,200.00 	Per Annum
Medical Supply Companies	CAT B		 1,200.00 	Per Annum
Medical Supply Companies	CAT C		 600.00 	Per Annum
Metal Fabricators	CAT A - Filling Station Sheds/Trailers/Undergroind Tanks Moulding		 57,000.00 	Per Annum
Metal Fabricators	CAT B - Agro Processing Machines Surface Tanks		 4,000.00 	Per Annum
Metal Fabricators	CAT C - Domestic Milling Machines	 690.00 	 1,400.00 	Per Annum
Metal Fabricators	CAT D - Canopies and Scaffolding	 400.00 	 900.00 	Per Annum
Metal Fabricators	CAT E - Pot, Coal pots and Sheet moulders	 230.00 	 400.00 	Per Annum
Metal Fabricators	CAT F - Chairs and beds, etc.	 120.00 	 320.00 	Per Annum
Fabrication Materials Dealers	CAT A - Large Scale		 3,750.00 	Per Annum
Fabrication Materials Dealers	CAT B - Medium Scale		 2,500.00 	Per Annum
Fabrication Materials Dealers	CAT C - Small Scale		 1,500.00 	Per Annum
Milling Businesses (For Food)	CAT A - Above 3 Machines	 210.00 	 210.00 	Per Annum
Milling Businesses (For Food)	CAT B - 2-3 Machines	 130.00 	 130.00 	Per Annum
Milling Businesses (For Food)	CAT C - 1 Machine Only	 60.00 	 60.00 	Per Annum
Mineral Water Producers	CAT A - Bottled, Sachet & Filtered Water	 1,500.00 	 2,800.00 	Per Annum
Mineral Water Producers	CAT B - Bottled & Sachet Water	 1,300.00 	 2,100.00 	Per Annum
Mineral Water Producers	CAT C - Sachet Water	 900.00 	 1,000.00 	Per Annum
Mineral Water Producers	CAT D - Accessory Shop (Medium)	 320.00 	 300.00 	Per Annum
Mineral Water Producers	CAT E  Accessory Shop (Small)	 250.00 	 190.00 	Per Annum
Mineral Water Distribution/Sales	CAT A - Depot	 600.00 	 1,000.00 	Per Annum
Mineral Water Distribution/Sales	CAT B - Wholesale	 380.00 	 600.00 	Per Annum
Mineral Water Distribution/Sales	CAT C - Retail (Large)	 210.00 	 350.00 	Per Annum
Mineral Water Distribution/Sales	CAT D - Retail (Medium)	 120.00 	 130.00 	Per Annum
Mineral Water Distribution/Sales	CAT E - Retail (Small)	 100.00 	 50.00 	Per Annum
Mineral Marketing Companies	CAT A		 21,000.00 	Per Annum
Mineral Marketing Companies	CAT B		 13,000.00 	Per Annum
Mineral Marketing Companies	CAT C		 7,500.00 	Per Annum
Mining/Oil/Quarry Administrative offices	CAT 'A'		 4,500.00 	Per Annum
Mining/Oil/Quarry Administrative offices	CAT 'B'		 3,000.00 	Per Annum
Mining/Oil/Quarry Administrative offices	CAT 'C'		 1,500.00 	Per Annum
Mining Operating Licence	CAT A - Large Scale		 100,000.00 	Per Annum
Mining Operating Licence	CAT B - Medium Scale		 60,000.00 	Per Annum
Mining Operating Licence	CAT C - Small Scale		 15,000.00 	Per Annum
Mining Operating Licence	CAT D - Salt Mining		 7,500.00 	Per Annum
Mining Sub-Contractors	CAT A - Exploration etc.		 52,000.00 	Per Annum
Mining Sub-Contractors	CAT B - Haulage etc.		 17,000.00 	Per Annum
Mining Sub-Contractors	CAT C - Automobile, Heavy Duty Equipment (Large)		 26,000.00 	Per Annum
Mining Sub-Contractors	CAT D - Automobile, Heavy Duty Equipment (Medium)		 16,500.00 	Per Annum
Mining Sub-Contractors	CAT E - Automobile, Heavy Duty Equipment (Small)		 10,500.00 	Per Annum
Mining Sub-Contractors	CAT F - Petroleum Services		 13,500.00 	Per Annum
Mining Sub-Contractors	CAT G - Mechanical Services (Large)		 22,000.00 	Per Annum
Mining Sub-Contractors	CAT H - Mechanical Services (Medium)		 13,500.00 	Per Annum
Mining Sub-Contractors	CAT I - Mechanical Services (Small)		 10,500.00 	Per Annum
Mining Sub-Contractors	CAT J - Medical Services, Consultants, Technicians etc.		 4,500.00 	Per Annum
Mining Sub-Contractors	CAT K - Transport & Catering Services		 6,000.00 	Per Annum
Mining Sub-Contractors	CAT L - Other Professional Services		 4,500.00 	Per Annum
Mobile Phone & Accessories Sales/Assembling/Repairs	CAT A - Import/Assembling Wholesale/Retail/Repairs		 3,500.00 	Per Annum
Mobile Phone & Accessories Sales/Assembling/Repairs	CAT B - Import/Wholesale/Retail/Repairs	 850.00 	 2,100.00 	Per Annum
Mobile Phone & Accessories Sales/Assembling/Repairs	CAT C - Retail/Repairs	 270.00 	 600.00 	Per Annum
Mobile Phone & Accessories Sales/Assembling/Repairs	CAT D - Retail Only	 200.00 	 350.00 	Per Annum
Mobile Phone & Accessories Sales/Assembling/Repairs	CAT E - Repairs Only	 200.00 	 280.00 	Per Annum
Mobile Phone & Accessories Sales/Assembling/Repairs	CAT F -  Repairs Only (Small)	 170.00 	 180.00 	Per Annum
Mobile Phone Cards Sales	CAT A - Distribution/Retail		 600.00 	Per Annum
Mobile Phone Cards Sales	CAT B - Distribution Only	 200.00 	 500.00 	Per Annum
Mobile Phone Cards Sales	CAT D - Retail		 100.00 	Per Annum
Mother Care Shops - Wholesale	CAT A - Mother Care Shops (Wholesale/Retail) 		 1,500.00 	Per Annum
Mother Care Shops - Wholesale	CAT B - Mother Care Shops (Wholesale only)	 500.00 	 1,000.00 	Per Annum
Mother Care Shops -Retail	CAT A - Mother Care Shops (Large Scale)		 500.00 	Per Annum
Mother Care Shops -Retail	CAT B - Mother Care Shops (Medium Scale)	 350.00 	 250.00 	Per Annum
Mother Care Shops -Retail	CAT C - Mother Care Shops (Small Scale)	 200.00 	 100.00 	Per Annum
Musical  Instrument Sales	CAT A - Wholesale/Retail		 210.00 	Per Annum
Musical  Instrument Sales	CAT B - Retail (Medium)	 250.00 	 170.00 	Per Annum
Musical  Instrument Sales	CAT C - Retail (Small)	 160.00 	 130.00 	Per Annum
Musical Speaker Manufacturers & Sales	Musical Speaker Manufacturers & Sales	 150.00 	 150.00 	Per Annum
Non-Governmental Institutions (Renewal)	CAT A - International NGOs/CSOs /FBOs	 600.00 	 280.00 	Per Annum
Non-Governmental Institutions (Renewal)	CAT B - Local NGOs/CSOs /FBOs	 300.00 	 210.00 	Per Annum
Non-Governmental Institutions (Renewal)	CAT C - Community NGOs/CSOs /FBOs	 300.00 	 100.00 	Per Annum
On-line Trading	CAT A - Multi Services	 1,308.00 	 1,500.00 	Per Annum
On-line Trading	CAT B - Dual Services	 1,000.00 	 1,000.00 	Per Annum
On-line Trading	CAT C - Single Service	 600.00 	 700.00 	Per Annum
Optical Services	CAT A - Large Scale		 520.00 	Per Annum
Optical Services	CAT B - Medium Scale		 350.00 	Per Annum
Optical Services	CAT C - Small Scale		 210.00 	Per Annum
Palm/Kernel Oil Extraction Companies	CAT A - Large Scale		 28,000.00 	Per Annum
Palm/Kernel Oil Extraction Companies	CAT B - Medium Scale		 14,000.00 	Per Annum
Palm/Kernel Oil Extraction Companies	CAT C - Small Scale		 2,000.00 	Per Annum
Palm/Kernel Oil Extraction Companies	CAT D - Individuals		 400.00 	Per Annum
Paper Product Companies	CAT A		 1,300.00 	Per Annum
Paper Product Companies	CAT B		 950.00 	Per Annum
Paper Product Companies	CAT C		 600.00 	Per Annum
Petrochemical Companies	CAT A - Oil Exploration		 57,000.00 	Per Annum
Petrochemical Companies	CAT B - Refineries		 60,000.00 	Per Annum
Petrochemical Companies	CAT C - Gas Processing Plants		 50,000.00 	Per Annum
Petrochemical Companies	CAT D - Oil Import/Storage		 26,000.00 	Per Annum
Petrochemical Companies	CAT E - Transportation and Storage of CAT A		 18,000.00 	Per Annum
Petrochemical Companies	CAT F - Transportation and Storage of CAT B		 14,000.00 	Per Annum
